ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"143.110.240.94","elite","AS14061","IN","DigitalOcean, LLC","128","DigitalOcean, LLC","18093","socks4","5008","2","2023-11-14T00:14:35.100Z","99","4762","4801"
"114.99.2.66","elite","AS4134","CN","Chinanet","193","Chinanet AH","8004","socks4","798","1","2023-11-14T00:14:35.203Z","55","2641","4779"
"44.190.9.65","elite","AS15102","CA","Corridor Communications, INC.","168","Amateur Radio Digital Communications","48100","socks4","207","1","2023-11-14T00:14:35.014Z","99","4670","4697"
"103.214.156.254","elite","AS135339","BD","Fuad Muhammad Shorfuddin","199","N/A","5678","socks4","4396","1","2023-11-14T00:14:25.012Z","89","4208","4754"
"59.59.51.74","elite","AS4134","CN","Chinanet","197","Chinanet FJ","8001","socks5","4504","1","2023-11-14T00:14:25.015Z","85","4009","4692"
"103.132.124.18","elite","AS138124","ID","Universitas Samudra","193","Universitas Samudra","5678","socks4","5006","1","2023-11-14T00:14:14.810Z","96","4626","4798"
"195.66.89.209","elite","AS39121","RU","Eniseyneftegas Territorial Industrial Technical Management of Communication LLC","106","Eniseyneftegas Territorial Industrial Technical Management of Communication CJSC","5678","socks5","1014","1","2023-11-14T00:14:14.809Z","99","4660","4713"
"45.112.125.57","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","4988","1","2023-11-14T00:14:14.811Z","99","4762","4820"
"184.82.142.201","elite","AS45430","TH","AIS-Fibre","185","N/A","4153","socks4","625","1","2023-11-14T00:14:04.400Z","92","4319","4685"
"41.85.189.66","elite","AS28683","BJ","Benin Telecoms Infrastructures SA","103","N/A","39475","socks4","2311","2","2023-11-14T00:14:04.398Z","100","4620","4637"
"202.159.35.121","elite","AS9340","ID","PT IndoInternet","188","N/A","443","socks4","5090","84","2023-11-14T00:14:04.312Z","99","4684","4719"
"45.233.0.1","elite","AS267303","BR","Centro Oeste Provedor","214","Centro Oeste Provedor","26730","socks4","4490","1","2023-11-14T00:14:04.314Z","99","4793","4823"
"8.219.152.222","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","393","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","67","2","2023-11-14T00:14:04.312Z","61","2884","4702"
"81.162.199.86","elite","AS34955","CZ","Martin Vicenik","96","VicenikRoute","4153","socks4","5405","1","2023-11-14T00:13:54.111Z","100","4759","4774"
"78.38.108.199","elite","AS58224","IR","Iran Telecommunication Company PJS","193","Abol Medical University","1080","socks5","5097","1","2023-11-14T00:13:54.113Z","81","3874","4760"
"201.20.183.218","elite","AS11835","BR","Nova Fibra Telecom S.A.","196","Nova Fibra Telecom S.A","3128","socks4","5402","1","2023-11-14T00:13:54.110Z","99","4773","4815"
"45.235.148.5","elite","AS268202","BR","F R BRAGA INFORMATICA ME","202","F R BRAGA INFORMATICA ME","3629","socks4","5000","1","2023-11-14T00:13:54.114Z","99","4780","4821"
"128.111.52.64","elite","AS131","US","University of California, Santa Barbara","142","University of California, Santa Barbara","33333","socks4","4900","1","2023-11-14T00:13:43.702Z","46","2127","4655"
"147.47.224.168","elite","AS9488","KR","SNU","265","N/A","1080","socks4","3105","1","2023-11-14T00:13:43.703Z","97","4637","4797"
"38.127.173.9","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","46656","socks5","2102","1","2023-11-14T00:13:43.799Z","100","4709","4717"
"201.76.125.147","elite","AS262794","BR","Vero S.A","298","Vero S.A","20183","socks4","5001","84","2023-11-14T00:13:43.705Z","94","4419","4709"
"83.142.161.30","elite","AS8369","RU","Intersvyaz-2 JSC","66","Intersvyaz-2 JSC","80","socks4","1806","1","2023-11-14T00:13:43.798Z","100","4781","4782"
"181.78.13.93","elite","AS52468","CO","IFX Networks Argentina S.R.L","136","UFINET COLOMBIA, S. A","5678","socks4","4491","1","2023-11-14T00:13:43.703Z","99","4752","4792"
"103.70.159.152","elite","AS133720","IN","speednet","197","N/A","5678","socks4","4913","1","2023-11-14T00:13:43.705Z","99","4744","4786"
